Rowid,Country,State lgd code,State,District lgd code,District,Year,District and taluk court case type,Pending cases for a period of 0 to 1 years,Pending cases for a period of 1 to 3 years,Pending cases for a period of 3 to 5 years,Pending cases for a period of 5 to 10 years,Pending cases for a period of 10 to 20 years,Pending cases for a period of 20 to 30 years,Pending cases over 30 years,Pending cases,Original pending cases,Pending appeal cases,Pending application cases,Pending execution cases,Cases pending at appearance or service-related stage,Cases pending at compliance or steps or stay stage,Cases pending at evidence or argument or judgement stage,Cases pending at pleadings or issues or charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by senior citizens,Cases filed by women,Cases delayed in disposal
1,India,1,Jammu And Kashmir,1,Anantnag,2021,Civil,3260,1510,476,469,100,7,0,5822,3860,170,73,276,3210,784,1010,104,384,241,750,562,1
2,India,1,Jammu And Kashmir,1,Anantnag,2021,Criminal,3481,1762,1100,1366,111,2,0,7822,5459,113,1632,180,2628,414,2421,559,680,616,114,499,0
3,India,1,Jammu And Kashmir,1,Anantnag,2021,Total,6741,3272,1576,1835,211,9,0,13644,9319,283,1705,456,5838,1198,3431,663,1064,857,864,1061,1
4,India,1,Jammu And Kashmir,2,Budgam,2021,Civil,1652,1011,526,407,73,1,0,3670,1878,216,126,134,934,400,723,254,130,140,521,449,14
5,India,1,Jammu And Kashmir,2,Budgam,2021,Criminal,2183,1865,1272,853,217,0,0,6390,3333,145,449,70,1288,245,2167,41,244,278,79,472,7
6,India,1,Jammu And Kashmir,2,Budgam,2021,Total,3835,2876,1798,1260,290,1,0,10060,5211,361,575,204,2222,645,2890,295,374,418,600,921,21
7,India,1,Jammu And Kashmir,3,Baramulla,2021,Civil,2009,2009,841,762,179,12,0,5812,1963,165,652,260,1511,423,897,104,168,209,1060,418,13
8,India,1,Jammu And Kashmir,3,Baramulla,2021,Criminal,3204,3493,2103,2377,220,6,0,11403,6816,186,1084,18,2194,492,1932,263,302,287,157,229,18
9,India,1,Jammu And Kashmir,3,Baramulla,2021,Total,5213,5502,2944,3139,399,18,0,17215,8779,351,1736,278,3705,915,2829,367,470,496,1217,647,31
10,India,1,Jammu And Kashmir,4,Doda,2021,Civil,1093,1031,305,146,10,1,0,2586,1872,53,553,108,1201,375,854,149,126,126,547,339,53
11,India,1,Jammu And Kashmir,4,Doda,2021,Criminal,1620,1177,480,395,23,0,0,3695,2342,22,1213,106,1454,210,1868,154,303,405,105,381,28
12,India,1,Jammu And Kashmir,4,Doda,2021,Total,2713,2208,785,541,33,1,0,6281,4214,75,1766,214,2655,585,2722,303,429,531,652,720,81
13,India,1,Jammu And Kashmir,5,Jammu,2021,Civil,8834,8345,6057,5008,1540,92,12,29888,23207,707,4188,1782,16048,4018,8331,1355,974,868,3623,3312,365
14,India,1,Jammu And Kashmir,5,Jammu,2021,Criminal,8716,8108,5565,5313,1100,18,3,28823,23640,179,4467,503,13663,2696,11196,1133,1418,1380,532,2180,35
15,India,1,Jammu And Kashmir,5,Jammu,2021,Total,17550,16453,11622,10321,2640,110,15,58711,46847,886,8655,2285,29711,6714,19527,2488,2392,2248,4155,5492,400
16,India,1,Jammu And Kashmir,7,Kathua,2021,Civil,2021,1212,461,345,65,2,0,4106,2974,105,258,455,1924,521,1353,186,144,212,547,552,67
17,India,1,Jammu And Kashmir,7,Kathua,2021,Criminal,2015,1363,798,628,49,0,0,4853,3900,33,785,83,1408,463,2571,326,534,495,85,345,166
18,India,1,Jammu And Kashmir,7,Kathua,2021,Total,4036,2575,1259,973,114,2,0,8959,6874,138,1043,538,3332,984,3924,512,678,707,632,897,233
19,India,1,Jammu And Kashmir,8,Kupwara,2021,Civil,1405,1136,534,494,71,1,0,3641,2661,115,80,179,1204,106,705,83,133,214,336,395,1
20,India,1,Jammu And Kashmir,8,Kupwara,2021,Criminal,1854,2182,1538,2158,341,8,0,8081,6747,91,673,53,1605,287,3315,361,194,196,65,313,7
21,India,1,Jammu And Kashmir,8,Kupwara,2021,Total,3259,3318,2072,2652,412,9,0,11722,9408,206,753,232,2809,393,4020,444,327,410,401,708,8
22,India,1,Jammu And Kashmir,10,Poonch,2021,Civil,874,598,310,266,56,0,0,2104,1308,48,120,97,133,261,304,91,22,221,280,96,8
23,India,1,Jammu And Kashmir,10,Poonch,2021,Criminal,916,951,635,407,11,0,0,2920,1423,16,169,0,605,106,746,56,40,170,33,191,2
24,India,1,Jammu And Kashmir,10,Poonch,2021,Total,1790,1549,945,673,67,0,0,5024,2731,64,289,97,738,367,1050,147,62,391,313,287,10
25,India,1,Jammu And Kashmir,11,Pulwama,2021,Civil,1346,818,396,225,35,0,0,2820,2003,76,176,185,908,868,641,313,255,237,441,337,83
26,India,1,Jammu And Kashmir,11,Pulwama,2021,Criminal,2479,1487,1185,504,82,2,0,5739,3649,71,1264,1,1521,643,2201,73,617,635,80,402,106
27,India,1,Jammu And Kashmir,11,Pulwama,2021,Total,3825,2305,1581,729,117,2,0,8559,5652,147,1440,186,2429,1511,2842,386,872,872,521,739,189
28,India,1,Jammu And Kashmir,12,Rajouri,2021,Civil,1285,1630,788,475,54,1,0,4233,3561,45,474,145,2295,658,1070,193,113,147,355,313,3
